,UNITID,XUGPO9_N_1617,UGPO9_N_1617,XUGPO9_T_1617,UGPO9_T_1617,XUGPO9_A_1617,UGPO9_A_1617,XGPO9_N_1617,GPO9_N_1617,XGPO9_T_1617,GPO9_T_1617,XGPO9_A_1617,GPO9_A_1617,XPO9_N_1617,PO9_N_1617,XPO9_T_1617,PO9_T_1617,XPO9_A_1617,PO9_A_1617,XUGDOD_N_1617,UGDOD_N_1617,XUGDOD_T_1617,UGDOD_T_1617,XUGDOD_A_1617,UGDOD_A_1617,XGDOD_N_1617,GDOD_N_1617,XGDOD_T_1617,GDOD_T_1617,XGDOD_A_1617,GDOD_A_1617,XDOD_N_1617,DOD_N_1617,XDOD_T_1617,DOD_T_1617,XDOD_A_1617,DOD_A   _1617,XUGPO9_N_1415,UGPO9_N_1415,XUGPO9_T_1415,UGPO9_T_1415,XUGPO9_A_1415,UGPO9_A_1415,XGPO9_N_1415,GPO9_N_1415,XGPO9_T_1415,GPO9_T_1415,XGPO9_A_1415,GPO9_A_1415,XPO9_N_1415,PO9_N_1415,XPO9_T_1415,PO9_T_1415,XPO9_A_1415,PO9_A_1415,XUGDOD_N_1415,UGDOD_N_1415,XUGDOD_T_1415,UGDOD_T_1415,XUGDOD_A_1415,UGDOD_A_1415,XGDOD_N_1415,GDOD_N_1415,XGDOD_T_1415,GDOD_T_1415,XGDOD_A_1415,GDOD_A_1415,XDOD_N_1415,DOD_N_1415,XDOD_T_1415,DOD_T_1415,XDOD_A_1415,DOD_A   _1415,XUGPO9_N_1516,UGPO9_N_1516,XUGPO9_T_1516,UGPO9_T_1516,XUGPO9_A_1516,UGPO9_A_1516,XGPO9_N_1516,GPO9_N_1516,XGPO9_T_1516,GPO9_T_1516,XGPO9_A_1516,GPO9_A_1516,XPO9_N_1516,PO9_N_1516,XPO9_T_1516,PO9_T_1516,XPO9_A_1516,PO9_A_1516,XUGDOD_N_1516,UGDOD_N_1516,XUGDOD_T_1516,UGDOD_T_1516,XUGDOD_A_1516,UGDOD_A_1516,XGDOD_N_1516,GDOD_N_1516,XGDOD_T_1516,GDOD_T_1516,XGDOD_A_1516,GDOD_A_1516,XDOD_N_1516,DOD_N_1516,XDOD_T_1516,DOD_T_1516,XDOD_A_1516,DOD_A   _1516
1773,174428,R,185.0,R,595649.0,R,3220.0,A,,A,,A,,R,185.0,R,595649.0,R,3220.0,R,11.0,R,23764.0,R,2160.0,A,,A,,A,,R,11.0,R,23764.0,R,2160.0,R,145.0,R,497821.0,R,3433.0,A,,A,,A,,R,145.0,R,497821.0,R,3433.0,R,12.0,R,17208.0,R,1434.0,A,,A,,A,,R,12.0,R,17208.0,R,1434.0,R,192.0,R,614135.0,R,3199.0,A,,A,,A,,R,192.0,R,614135.0,R,3199.0,R,11.0,R,14958.0,R,1360.0,A,,A,,A,,R,11.0,R,14958.0,R,1360.0
1774,174437,R,13.0,R,139347.0,R,10719.0,R,0.0,R,0.0,A,,R,13.0,R,139347.0,R,10719.0,R,1.0,R,3750.0,R,3750.0,R,0.0,R,0.0,A,,R,1.0,R,3750.0,R,3750.0,R,29.0,R,178132.0,R,6142.0,R,0.0,R,0.0,A,,R,29.0,R,178132.0,R,6142.0,R,8.0,R,38500.0,R,4813.0,R,0.0,R,0.0,A,,R,8.0,R,38500.0,R,4813.0,R,22.0,R,155357.0,R,7062.0,R,0.0,R,0.0,A,,R,22.0,R,155357.0,R,7062.0,R,4.0,R,12750.0,R,3188.0,R,0.0,R,0.0,A,,R,4.0,R,12750.0,R,3188.0
1775,174473,R,66.0,R,238708.0,R,3617.0,A,,A,,A,,R,66.0,R,238708.0,R,3617.0,R,8.0,R,12961.0,R,1620.0,A,,A,,A,,R,8.0,R,12961.0,R,1620.0,R,71.0,R,312753.0,R,4405.0,A,,A,,A,,R,71.0,R,312753.0,R,4405.0,R,10.0,R,20236.0,R,2024.0,A,,A,,A,,R,10.0,R,20236.0,R,2024.0,R,79.0,R,284824.0,R,3605.0,A,,A,,A,,R,79.0,R,284824.0,R,3605.0,R,9.0,R,14730.0,R,1637.0,A,,A,,A,,R,9.0,R,14730.0,R,1637.0
1776,174491,R,3.0,R,2000.0,R,667.0,R,0.0,R,0.0,A,,R,3.0,R,2000.0,R,667.0,R,41.0,R,158425.0,R,3864.0,R,12.0,R,42422.0,R,3535.0,R,53.0,R,200847.0,R,3790.0,R,5.0,R,2500.0,R,500.0,R,0.0,R,0.0,A,,R,5.0,R,2500.0,R,500.0,R,42.0,R,156854.0,R,3735.0,R,13.0,R,47399.0,R,3646.0,R,55.0,R,204253.0,R,3714.0,R,4.0,R,2011.0,R,503.0,R,0.0,R,0.0,A,,R,4.0,R,2011.0,R,503.0,R,37.0,R,148448.0,R,4012.0,R,16.0,R,57308.0,R,3582.0,R,53.0,R,205756.0,R,3882.0
1777,174507,R,5.0,R,43751.0,R,8750.0,R,13.0,R,173919.0,R,13378.0,R,18.0,R,217670.0,R,12093.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,4.0,R,216092.0,R,54023.0,R,12.0,R,35416.0,R,2951.0,R,16.0,R,251508.0,R,15719.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,5.0,R,29119.0,R,5824.0,R,12.0,R,129875.0,R,10823.0,R,17.0,R,158994.0,R,9353.0,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,
1778,174525,R,6.0,R,62375.0,R,10396.0,A,,A,,A,,R,6.0,R,62375.0,R,10396.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,1.0,R,750.0,R,750.0,A,,A,,A,,R,1.0,R,750.0,R,750.0,R,3.0,R,31820.0,R,10607.0,A,,A,,A,,R,3.0,R,31820.0,R,10607.0,R,1.0,R,1500.0,R,1500.0,A,,A,,A,,R,1.0,R,1500.0,R,1500.0
1779,174570,R,35.0,R,115565.0,R,3302.0,A,,A,,A,,R,35.0,R,115565.0,R,3302.0,R,2.0,R,5429.0,R,2715.0,A,,A,,A,,R,2.0,R,5429.0,R,2715.0,R,31.0,R,94211.0,R,3039.0,A,,A,,A,,R,31.0,R,94211.0,R,3039.0,R,1.0,R,2427.0,R,2427.0,A,,A,,A,,R,1.0,R,2427.0,R,2427.0,R,35.0,R,106057.0,R,3030.0,A,,A,,A,,R,35.0,R,106057.0,R,3030.0,R,4.0,R,4800.0,R,1200.0,A,,A,,A,,R,4.0,R,4800.0,R,1200.0
1780,174604,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1781,174738,R,104.0,R,375966.0,R,3615.0,A,,A,,A,,R,104.0,R,375966.0,R,3615.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,104.0,R,401233.0,R,3858.0,A,,A,,A,,R,104.0,R,401233.0,R,3858.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,132.0,R,443467.0,R,3360.0,A,,A,,A,,R,132.0,R,443467.0,R,3360.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,
1782,174747,R,8.0,R,120782.0,R,15098.0,A,,A,,A,,R,8.0,R,120782.0,R,15098.0,R,0.0,R,0.0,A,,A,,A,,A,,R,0.0,R,0.0,A,,R,8.0,R,130025.0,R,16253.0,A,,A,,A,,R,8.0,R,130025.0,R,16253.0,R,1.0,R,4000.0,R,4000.0,A,,A,,A,,R,1.0,R,4000.0,R,4000.0,R,7.0,R,126267.0,R,18038.0,A,,A,,A,,R,7.0,R,126267.0,R,18038.0,R,1.0,R,4000.0,R,4000.0,A,,A,,A,,R,1.0,R,4000.0,R,4000.0
